feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
CTNNAL1,ECD,202.84795,88.24621,0,0
TIMP2,TNFRSF21,169.97321,88.21424,0,0
CREB1,SEC24C,156.40297,88.16124,0,0
DHX29,UBQLN2,193.79929,88.15697,0,0
TGDS,TLE3,140.83125,88.09029,0,0
DHX29,TRIM13,157.09473,88.05697,0,0
AFF1,SEC24C,204.92715,88.02385,0,0
ECD,TSN,152.72647,88.01639,0,0
CYTH1,CRTAP,164.93962,88.00431,0,0
SEC24C,ACBD3,177.63077,87.9514,0,0
KLHDC2,MAN2A2,158.82862,87.85115,0,0
MSH6,CASK,180.38933,87.78064,0,0
HEATR1,KLHDC2,178.7187,87.77601,0,0
TSTA3,PUF60,167.48821,87.75954,1,0
SLC36A1,ANXA7,169.76011,87.7447,0,0
NVL,SEC24C,155.97582,87.73409,0,0
PDS5A,ERCC5,174.62625,87.71783,0,0
AKAP1,TMEM2,200.15439,87.70562,0,0
RRP1B,SMARCC1,186.48189,87.70398,0,0
UBR7,AREL1,118.23435,87.67545,0,0
MCUR1,TSN,126.3229,87.66598,0,0
NVL,VPS72,164.61965,87.65297,0,0
TLE3,POLD4,127.35719,87.60778,0,0
TNFRSF21,FOXJ3,179.58466,87.59265,0,0
TM9SF3,CTNNAL1,202.18504,87.5833,0,0
PAFAH1B1,USP14,160.84888,87.53764,1,0
DNMT1,PHF2,198.38186,87.52628,1,0
TM9SF3,USP14,162.22836,87.48914,0,0
SETD1B,TLE3,127.14478,87.39537,0,0
PCMT1,POLR2K,129.81365,87.37917,0,0
SNX6,TLE3,127.09959,87.35018,0,0
CASK,ELOVL6,130.04732,87.33931,0,0
GABPB1,NOLC1,167.58125,87.33281,0,0
HMG20B,GRHPR,194.2511,87.29209,1,0
TM9SF3,LBR,162.02985,87.29063,0,0
CTNNAL1,UBQLN2,201.8813,87.27956,0,0
DHX29,SLC11A2,156.28069,87.24293,0,0
TLE3,LSM6,126.92773,87.17832,0,0
SYNGR3,HPRT1,146.70527,87.15964,0,0
SCYL3,TM9SF3,161.87808,87.13886,0,0
BAZ1B,TLE3,201.2673,87.12042,1,0
DNAJA3,TRAP1,164.52046,87.11965,1,1
HAT1,TSPAN3,217.33025,87.11627,0,0
AKAP1,CRTAP,166.50525,87.10891,0,0
ADAM10,KLHDC2,165.05897,87.09244,0,0
SLC11A2,NNT,134.85813,87.08476,0,0
ATP11B,NOLC1,197.16781,87.06833,0,0
RHOBTB1,KLHL9,186.44291,87.06485,1,0
DCUN1D4,INPP1,188.02694,87.04504,0,0
CRKL,TOPBP1,149.48486,87.04075,0,0
RAB3GAP1,UBQLN2,192.64852,87.0062,1,0
PSMD10,TSN,140.36348,86.97971,1,0
ELAVL1,AARS,190.33977,86.97046,0,0
NISCH,IGHMBP2,126.06141,86.9607,1,0
KIAA0922,NOLC1,166.86116,86.9581,0,0
MSH6,KLHL9,186.30938,86.93132,0,0
VPS26A,NVL,167.54346,86.91822,0,0
VPS26A,ADCY9,167.5338,86.90856,0,0
HEATR1,AKAP1,177.85039,86.9077,0,0
CHERP,HMGCR,118.67259,86.89864,0,0
ABL1,MSH6,179.44918,86.84049,1,0
CREB1,XPO7,145.17954,86.83151,0,0
PYCR1,MPZL1,142.53273,86.82027,0,0
MBTPS1,VPS72,163.78038,86.8137,0,0
PAFAH1B1,SMC1A,139.88163,86.76837,0,0
ZW10,ZMIZ1,200.1763,86.74764,0,0
ZBTB24,ZNF131,124.41705,86.73278,1,0
SOX4,CDCA4,211.35332,86.71973,0,0
PDS5A,KLHL9,186.08613,86.70807,0,0
VGLL4,SEC24C,154.94794,86.70621,0,0
DCUN1D4,NOLC1,164.77359,86.70341,0,0
TLE3,POLR2K,126.44959,86.70018,0,0
SMC3,DNMT1,197.54689,86.69131,1,0
MCUR1,SMC1A,139.80054,86.68728,0,0
MCUR1,ELAVL1,190.04414,86.67483,0,0
AKAP1,PMM2,205.88358,86.63658,0,0
RAD51C,VPS26A,167.15606,86.53082,0,0
TOMM22,TMED10,161.42535,86.48749,0,0
CRKL,MRPL19,142.65338,86.44933,0,0
TLE3,ADH5,164.57605,86.35237,0,0
DRAP1,SMYD3,127.50011,86.34938,0,0
AKAP1,ACBD3,176.01879,86.33942,1,0
INPP1,ZGPAT,187.31547,86.33357,0,0
AKAP1,GTPBP8,181.38593,86.30099,0,0
ECD,NVL,151.00259,86.29251,1,0
DDX10,UBQLN2,191.89208,86.24976,0,0
GOLT1B,EAPP,167.33061,86.24719,0,0
RRP1B,DDX42,185.01581,86.2379,1,0
ALMS1,PHF2,145.81387,86.18305,0,0
PRKCD,B4GAT1,158.70685,86.13051,0,0
PMM2,PHF2,205.36727,86.12027,0,0
PDS5A,TLE3,173.00175,86.09333,0,0
FAT1,DHDDS,203.68217,86.06539,0,0
ZNF586,ZMIZ1,195.54692,86.06037,0,0
STK10,TNFRSF21,167.79467,86.0357,0,0
CDC45,TOMM22,239.32714,86.00827,0,0
PCM1,UBQLN2,191.62323,85.98091,0,0
CAB39,UBQLN2,191.62279,85.98047,0,0
DNAJA3,EAPP,167.05555,85.97213,0,0
MSH6,GPATCH8,178.51761,85.90892,0,0
EIF5,KLHDC2,156.87359,85.89612,0,0
DHX29,TLE3,154.91558,85.87782,0,0
DNMT1,SMARCC1,196.72701,85.87143,1,0
HMGCR,TEX10,117.60232,85.82837,0,0
C2CD5,RRP1B,184.57038,85.79247,0,0
UBE3B,DDX42,150.78243,85.77466,0,0
NSFL1C,SEC24C,172.08457,85.72034,0,0
CNOT4,NR3C1,121.13563,85.7136,0,0
TBPL1,CCNF,230.32678,85.7001,0,0
RNF167,PDHX,180.88006,85.68968,0,0
CRKL,TSN,121.41078,85.68857,0,0
ARID4B,CAMSAP2,141.83254,85.68328,0,0
CTCF,NVL,146.72962,85.66362,0,0
ADAM10,TNFRSF21,167.42162,85.66265,1,0
STX4,SHB,142.02484,85.65505,0,1
PMM2,DDX42,204.83356,85.58656,0,0
ELAVL1,SMC3,188.92511,85.5558,0,0
