feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
CDC45,RAP1A,320.78622,173.01765,0,0
ECHDC1,TIMELESS,321.9965,172.98942,0,0
PMAIP1,DYNLT3,323.07584,172.98178,0,0
TSN,MLLT11,295.45162,172.96979,0,0
KDM5A,MLLT11,302.89528,172.91968,0,0
MSH6,CCNA2,268.52532,172.85511,1,0
MARK4,TPD52L2,261.59246,172.85149,0,0
KIF2C,SEC24C,324.58777,172.80553,0,0
IL4R,PHF2,269.40443,172.77883,0,0
MLLT11,RBM15B,333.76625,172.76233,0,0
FADD,TUBB6,283.17828,172.71241,1,0
CEP55,SMARCC1,324.07695,172.70246,0,0
PANK2,INTS3,285.08921,172.69431,0,0
DLGAP5,MBNL1,275.57038,172.67871,0,0
CNDP2,ATF5,394.55881,172.67547,0,0
UFM1,CCNF,344.06241,172.6478,0,0
MCOLN1,MBOAT7,313.24551,172.60832,0,0
TMEM2,MLLT11,295.04922,172.56739,0,0
PSMD5,TOP2A,308.44169,172.55698,0,0
AKT1,SLC2A6,331.04831,172.54054,1,0
